lh.aparc.area	lh_bankssts_area	lh_caudalanteriorcingulate_area	lh_caudalmiddlefrontal_area	lh_cuneus_area	lh_entorhinal_area	lh_fusiform_area	lh_inferiorparietal_area	lh_inferiortemporal_area	lh_isthmuscingulate_area	lh_lateraloccipital_area	lh_lateralorbitofrontal_area	lh_lingual_area	lh_medialorbitofrontal_area	lh_middletemporal_area	lh_parahippocampal_area	lh_paracentral_area	lh_parsopercularis_area	lh_parsorbitalis_area	lh_parstriangularis_area	lh_pericalcarine_area	lh_postcentral_area	lh_posteriorcingulate_area	lh_precentral_area	lh_precuneus_area	lh_rostralanteriorcingulate_area	lh_rostralmiddlefrontal_area	lh_superiorfrontal_area	lh_superiorparietal_area	lh_superiortemporal_area	lh_supramarginal_area	lh_frontalpole_area	lh_temporalpole_area	lh_transversetemporal_area	lh_insula_area	lh_WhiteSurfArea_area	BrainSegVolNotVent	eTIV
0050012	1126.0	560.0	1778.0	1636.0	518.0	2937.0	4999.0	3273.0	1053.0	4736.0	2985.0	3159.0	1991.0	3202.0	709.0	1246.0	1769.0	705.0	1680.0	1661.0	4170.0	1204.0	4440.0	4248.0	704.0	5445.0	5960.0	6161.0	4382.0	5061.0	310.0	430.0	435.0	2206.0	86869.7	1209227.0	1549145.09979
0050013	1085.0	637.0	1941.0	1319.0	483.0	3348.0	3614.0	3256.0	1077.0	4190.0	2669.0	2831.0	1746.0	3160.0	589.0	1283.0	1827.0	754.0	1495.0	1173.0	4275.0	1162.0	4753.0	4062.0	791.0	5296.0	6999.0	6102.0	3745.0	4651.0	256.0	445.0	493.0	2014.0	83507.5	1164369.0	1464317.24293
0050014	1028.0	569.0	2138.0	1512.0	391.0	3303.0	5238.0	4039.0	1039.0	5153.0	2815.0	3123.0	1897.0	3618.0	737.0	1392.0	1608.0	754.0	1569.0	1230.0	4015.0	1108.0	5117.0	4294.0	809.0	6580.0	6794.0	5946.0	4524.0	4779.0	319.0	429.0	539.0	2326.0	90728.7	1197555.0	1626868.52391
0050015	1423.0	771.0	1823.0	1502.0	490.0	3234.0	5527.0	2783.0	1177.0	5259.0	2807.0	2776.0	1768.0	3046.0	681.0	1516.0	2216.0	842.0	1446.0	1203.0	4588.0	1415.0	5665.0	4593.0	859.0	6037.0	7244.0	5760.0	4893.0	4650.0	267.0	444.0	578.0	2469.0	91750.1	1203234.0	1609611.15625
0050016	1452.0	904.0	3519.0	1958.0	677.0	4372.0	6348.0	4945.0	1296.0	6843.0	3214.0	3978.0	2749.0	4270.0	779.0	1786.0	1822.0	884.0	1682.0	1854.0	5300.0	1431.0	6354.0	5473.0	1479.0	7740.0	10995.0	7808.0	4588.0	5292.0	361.0	667.0	506.0	2819.0	116133.0	1483658.0	1542262.28858
0050017	761.0	708.0	3115.0	819.0	427.0	2809.0	5070.0	3730.0	1071.0	4756.0	2268.0	2475.0	1749.0	2592.0	821.0	1740.0	1863.0	648.0	1249.0	778.0	4973.0	1394.0	6683.0	4097.0	919.0	5992.0	8111.0	5984.0	3430.0	4740.0	298.0	493.0	540.0	3781.0	90879.2	1219466.0	1864638.57442
0050019	1271.0	913.0	3847.0	1609.0	529.0	3280.0	4790.0	4723.0	1438.0	5036.0	3706.0	2419.0	2477.0	4036.0	668.0	2021.0	1994.0	793.0	1835.0	939.0	4926.0	1473.0	6144.0	4825.0	1874.0	8258.0	11246.0	6970.0	5224.0	5177.0	329.0	521.0	530.0	3383.0	109183.0	1455218.0	1965755.15374
0050020	1393.0	909.0	2238.0	1633.0	358.0	3626.0	5333.0	3463.0	1056.0	6452.0	3072.0	3362.0	2328.0	3809.0	751.0	1430.0	2102.0	656.0	1788.0	1794.0	4650.0	1510.0	5208.0	4384.0	693.0	5946.0	7876.0	5695.0	4575.0	4554.0	287.0	413.0	496.0	2630.0	96452.8	1215860.0	1651762.86274
0050022	1286.0	660.0	2131.0	1653.0	412.0	3332.0	4548.0	3371.0	1282.0	5640.0	3225.0	3819.0	1938.0	3416.0	688.0	1507.0	2222.0	781.0	1673.0	1658.0	4598.0	1306.0	5386.0	4293.0	1012.0	7037.0	8463.0	6097.0	4570.0	5367.0	296.0	493.0	496.0	2761.0	97411.6	1304294.0	1781478.47904
0050023	1197.0	809.0	2053.0	1498.0	422.0	3584.0	5979.0	4137.0	1045.0	4987.0	2888.0	2471.0	2115.0	3712.0	918.0	1820.0	1749.0	684.0	1259.0	1372.0	4475.0	1418.0	4698.0	4796.0	892.0	6611.0	8425.0	6252.0	4227.0	3850.0	320.0	429.0	431.0	2728.0	94213.0	1324654.0	1739599.76143
0050024	1009.0	868.0	2904.0	1423.0	468.0	3116.0	5084.0	3833.0	1006.0	5067.0	2779.0	2280.0	2009.0	3547.0	824.0	1371.0	1733.0	788.0	1335.0	1233.0	3810.0	1398.0	5118.0	3687.0	940.0	6076.0	8326.0	4813.0	3921.0	3492.0	318.0	449.0	486.0	2880.0	88382.9	1219270.0	1685735.50358
0050025	806.0	334.0	1799.0	1556.0	342.0	3012.0	3622.0	2657.0	915.0	5515.0	2482.0	3140.0	1621.0	2625.0	587.0	1219.0	1640.0	728.0	1371.0	1464.0	3136.0	941.0	4208.0	3370.0	490.0	4323.0	5447.0	5246.0	3542.0	3065.0	225.0	462.0	316.0	2023.0	74203.0	1074532.0	1377494.83491
0050026	1006.0	690.0	2837.0	1973.0	513.0	3341.0	4863.0	4396.0	1438.0	5729.0	3361.0	3507.0	2008.0	3971.0	568.0	1675.0	1567.0	689.0	1537.0	1585.0	5246.0	1675.0	6182.0	4650.0	718.0	7308.0	9790.0	6342.0	4426.0	3860.0	270.0	535.0	470.0	2908.0	101634.0	1313793.0	1825701.25505
0050027	861.0	498.0	2006.0	1431.0	371.0	2788.0	3828.0	3480.0	971.0	4475.0	2545.0	2983.0	1693.0	3072.0	652.0	1162.0	1327.0	700.0	1375.0	1567.0	4110.0	945.0	4430.0	3707.0	764.0	4946.0	6054.0	6069.0	3377.0	3347.0	253.0	425.0	453.0	2153.0	78798.0	1041681.0	1313595.06072
0050028	1569.0	689.0	3271.0	1849.0	491.0	3513.0	5593.0	4187.0	1112.0	4924.0	3275.0	2843.0	2383.0	3881.0	744.0	1694.0	1989.0	956.0	1675.0	1431.0	5362.0	1526.0	5730.0	4828.0	1000.0	7977.0	10106.0	6279.0	5080.0	5831.0	293.0	592.0	520.0	2618.0	105796.0	1394767.0	1788864.65564
0050029	1034.0	815.0	2220.0	1590.0	322.0	3035.0	6076.0	3936.0	1120.0	5740.0	3414.0	3577.0	2132.0	4254.0	707.0	1754.0	1985.0	868.0	1847.0	1856.0	5806.0	1430.0	5363.0	5300.0	1190.0	7915.0	9389.0	7549.0	4981.0	4079.0	311.0	458.0	697.0	2715.0	105463.0	1385752.0	1755065.69525
0050030	1036.0	915.0	2949.0	1913.0	387.0	3633.0	4821.0	3917.0	1115.0	6570.0	2670.0	3787.0	2050.0	4065.0	704.0	1548.0	1645.0	812.0	1575.0	1713.0	4770.0	1667.0	5494.0	3458.0	1102.0	6454.0	8140.0	4675.0	4354.0	4470.0	265.0	510.0	613.0	2374.0	96169.4	1293044.0	1701776.66894
0050031	1551.0	715.0	2426.0	1306.0	561.0	3169.0	5407.0	3776.0	976.0	5106.0	3062.0	2914.0	2485.0	3557.0	706.0	1635.0	1764.0	801.0	1666.0	1377.0	4631.0	1363.0	5328.0	4334.0	1058.0	7487.0	8675.0	5800.0	4741.0	4673.0	276.0	478.0	498.0	2634.0	96930.6	1304234.0	1691051.70959
0050032	1050.0	860.0	3050.0	1762.0	400.0	3313.0	4361.0	3801.0	1232.0	4950.0	2960.0	3422.0	1960.0	3853.0	720.0	1593.0	2056.0	739.0	1417.0	1527.0	4494.0	1466.0	6092.0	4601.0	947.0	6510.0	8068.0	6671.0	4519.0	5021.0	286.0	539.0	596.0	2763.0	97593.9	1317173.0	1786584.52427
0050033	1334.0	643.0	2692.0	1531.0	409.0	3392.0	4441.0	3205.0	990.0	4782.0	3037.0	3091.0	1779.0	3180.0	684.0	1581.0	2163.0	819.0	1639.0	1363.0	4764.0	1379.0	5208.0	4498.0	888.0	6891.0	8312.0	6379.0	4562.0	4806.0	235.0	358.0	508.0	2875.0	94418.4	1234207.0	1576961.50909
0050034	1109.0	696.0	2657.0	1553.0	385.0	3734.0	4929.0	3849.0	1113.0	5950.0	3044.0	2889.0	1915.0	3225.0	873.0	1632.0	1651.0	790.0	1435.0	1401.0	4626.0	1542.0	5344.0	5078.0	877.0	6369.0	8595.0	6918.0	3875.0	3980.0	259.0	452.0	429.0	2826.0	95994.9	1248972.0	1583845.17961
0050035	994.0	778.0	2622.0	1950.0	588.0	3084.0	4304.0	4294.0	1218.0	6025.0	2760.0	2655.0	1939.0	3486.0	725.0	1371.0	1393.0	813.0	1352.0	1352.0	4170.0	1298.0	5761.0	3960.0	674.0	6334.0	7261.0	5728.0	4948.0	4466.0	274.0	541.0	475.0	2604.0	92188.3	1248719.0	1597907.97866
0050036	1007.0	593.0	2180.0	1205.0	401.0	3172.0	4223.0	3593.0	987.0	5240.0	2834.0	3512.0	2010.0	3608.0	683.0	1339.0	1906.0	799.0	1507.0	1610.0	3809.0	1332.0	4869.0	3502.0	890.0	7016.0	7203.0	5367.0	4965.0	4724.0	188.0	460.0	567.0	2486.0	89774.4	1209068.0	1606010.69401
0050037	993.0	422.0	3466.0	1257.0	714.0	3720.0	4195.0	3521.0	896.0	4970.0	3221.0	2782.0	2160.0	3243.0	726.0	1509.0	1541.0	916.0	1303.0	1183.0	4771.0	1175.0	5596.0	4449.0	884.0	6574.0	9053.0	5818.0	4110.0	4143.0	257.0	508.0	468.0	2597.0	93132.1	1289241.0	1770372.28171
0050038	1043.0	592.0	1717.0	1526.0	325.0	2980.0	5326.0	3044.0	908.0	5187.0	2936.0	3090.0	1877.0	3037.0	617.0	1483.0	1249.0	765.0	1232.0	1658.0	4203.0	1299.0	4468.0	4130.0	912.0	5099.0	7198.0	5391.0	3825.0	4544.0	304.0	326.0	491.0	2405.0	85176.4	1133121.0	1506162.89891
0050039	1335.0	741.0	2443.0	1744.0	351.0	2861.0	4072.0	2950.0	828.0	4847.0	2851.0	2652.0	2091.0	3278.0	698.0	1413.0	1798.0	760.0	1525.0	1213.0	4796.0	1047.0	5305.0	3974.0	942.0	5640.0	7720.0	5681.0	4690.0	4537.0	250.0	392.0	682.0	2391.0	88488.8	1207556.0	1599337.00562
0050040	1122.0	565.0	1840.0	1576.0	508.0	3294.0	4332.0	3857.0	994.0	4918.0	2835.0	3252.0	1474.0	3167.0	657.0	1414.0	1707.0	843.0	1613.0	1707.0	3856.0	1086.0	5005.0	3651.0	831.0	5519.0	7573.0	5099.0	3706.0	3999.0	256.0	502.0	429.0	2829.0	86011.8	1204502.0	1471493.0937
0050041	1044.0	844.0	3007.0	1799.0	379.0	3552.0	5044.0	4194.0	1203.0	6082.0	3230.0	2638.0	2183.0	4052.0	810.0	1334.0	1716.0	985.0	1761.0	1252.0	4812.0	1326.0	5278.0	4442.0	1046.0	7169.0	8746.0	5437.0	4562.0	4798.0	247.0	661.0	539.0	2618.0	98778.6	1363677.0	1830277.65207
0050042	916.0	607.0	2072.0	1564.0	557.0	2961.0	4121.0	3532.0	976.0	5182.0	2804.0	3656.0	1954.0	3188.0	661.0	1490.0	1540.0	751.0	1361.0	1503.0	3722.0	1099.0	4915.0	3867.0	777.0	5774.0	7441.0	5920.0	3824.0	3310.0	299.0	488.0	376.0	2268.0	85471.4	1152139.0	1500624.98056
0050043	1135.0	619.0	2106.0	1695.0	435.0	3098.0	4274.0	3266.0	894.0	5608.0	3062.0	2989.0	2115.0	3528.0	712.0	1213.0	1607.0	846.0	1542.0	1490.0	4155.0	1342.0	5095.0	3489.0	934.0	7597.0	7953.0	4588.0	4336.0	3891.0	277.0	488.0	495.0	2421.0	89277.6	1236022.0	1585135.82731
0050044	1118.0	723.0	2431.0	1555.0	586.0	3877.0	4702.0	3569.0	963.0	5583.0	3283.0	3955.0	2328.0	3666.0	876.0	1635.0	1712.0	871.0	1359.0	1895.0	4256.0	1159.0	5893.0	3883.0	880.0	6399.0	8341.0	5793.0	4239.0	4346.0	270.0	501.0	486.0	2487.0	95611.4	1319017.0	1767377.18116
0050045	1230.0	720.0	3305.0	2337.0	437.0	4331.0	5308.0	4064.0	1117.0	6900.0	3173.0	4161.0	1815.0	4023.0	904.0	1635.0	2015.0	816.0	1867.0	2297.0	4985.0	1215.0	5660.0	4783.0	1052.0	7067.0	8719.0	7322.0	5038.0	5369.0	307.0	529.0	653.0	3126.0	108278.0	1460527.0	1969272.97635
0050046	914.0	470.0	2072.0	1291.0	447.0	2731.0	3874.0	3513.0	856.0	4637.0	3010.0	1982.0	2158.0	2780.0	702.0	1421.0	1960.0	740.0	1664.0	1031.0	4193.0	1172.0	4907.0	3424.0	670.0	5453.0	7177.0	4728.0	3690.0	3839.0	255.0	530.0	493.0	2559.0	81329.7	1081108.0	1479310.79874
0050047	1109.0	530.0	2611.0	1514.0	567.0	3200.0	4517.0	3910.0	1468.0	5081.0	3057.0	3578.0	2216.0	3900.0	770.0	1380.0	2110.0	774.0	1772.0	1364.0	4998.0	1470.0	5475.0	4297.0	787.0	6699.0	8007.0	4919.0	4184.0	4686.0	327.0	521.0	533.0	2798.0	95119.5	1376816.0	1752306.80128
0050048	1029.0	564.0	2558.0	1402.0	426.0	2659.0	4028.0	3294.0	1069.0	4015.0	2703.0	2954.0	1918.0	3109.0	669.0	1247.0	1639.0	866.0	1326.0	1510.0	4019.0	1325.0	4910.0	3749.0	538.0	5481.0	7122.0	5567.0	3596.0	4197.0	294.0	446.0	373.0	2283.0	82881.1	1171420.0	1528037.88275
0050049	758.0	631.0	2403.0	1419.0	340.0	2858.0	3344.0	2878.0	842.0	4577.0	2592.0	2837.0	1920.0	2492.0	684.0	1590.0	1577.0	717.0	1284.0	1438.0	3877.0	1175.0	4770.0	3567.0	640.0	5318.0	7014.0	4930.0	3217.0	3035.0	243.0	429.0	448.0	2059.0	77893.1	1081666.0	1448811.05136
0050050	1160.0	740.0	3380.0	1607.0	398.0	3563.0	4643.0	3400.0	1063.0	5008.0	3449.0	3567.0	2132.0	3543.0	826.0	2424.0	2286.0	901.0	1819.0	1767.0	5064.0	1613.0	5981.0	4948.0	1286.0	7941.0	11856.0	7923.0	5225.0	5695.0	348.0	484.0	667.0	3338.0	110043.0	1455486.0	1909623.76909
0050051	1207.0	787.0	3042.0	1452.0	231.0	3873.0	4411.0	3666.0	1237.0	5461.0	2939.0	2914.0	2088.0	4227.0	833.0	1588.0	2633.0	852.0	1562.0	1247.0	4641.0	1658.0	5849.0	4553.0	999.0	6961.0	8810.0	6409.0	4819.0	5435.0	296.0	399.0	603.0	3001.0	100679.0	1394352.0	1718904.23391
0050052	1160.0	594.0	2690.0	1458.0	436.0	2713.0	4536.0	3710.0	1140.0	5067.0	2788.0	2639.0	1789.0	3737.0	684.0	1363.0	1845.0	647.0	1655.0	991.0	4245.0	1235.0	5104.0	3767.0	839.0	6196.0	6835.0	5336.0	4127.0	4852.0	235.0	552.0	469.0	2995.0	88430.3	1134195.0	1605615.89604
0050053	947.0	527.0	2126.0	1446.0	550.0	2990.0	4386.0	2953.0	1018.0	4843.0	2669.0	3153.0	1728.0	3052.0	622.0	1466.0	1621.0	747.0	1545.0	1480.0	4121.0	1196.0	5101.0	3353.0	879.0	5670.0	7961.0	5016.0	4561.0	4617.0	254.0	465.0	466.0	2406.0	85790.4	1119904.0	1416269.25685
0050054	974.0	961.0	2863.0	1293.0	538.0	3485.0	4795.0	3120.0	1053.0	5672.0	2828.0	2898.0	2072.0	3527.0	649.0	1726.0	1983.0	743.0	1628.0	1254.0	4876.0	1585.0	5104.0	4023.0	1209.0	6200.0	7573.0	6180.0	4423.0	4532.0	292.0	553.0	477.0	2425.0	93495.3	1238429.0	1583690.92195
0050055	966.0	536.0	2557.0	1395.0	402.0	3247.0	4104.0	3668.0	914.0	5643.0	2980.0	2383.0	2037.0	2861.0	718.0	1552.0	1434.0	674.0	1304.0	1108.0	4089.0	1071.0	5441.0	4081.0	821.0	5622.0	7492.0	5091.0	4356.0	3160.0	237.0	418.0	579.0	2262.0	85197.7	1130807.0	1556347.18554
0050056	1094.0	812.0	1988.0	1314.0	377.0	3104.0	4846.0	3434.0	1154.0	5327.0	2585.0	3037.0	1465.0	3515.0	680.0	1278.0	1623.0	739.0	1391.0	1220.0	4014.0	1324.0	4904.0	3720.0	925.0	5441.0	7520.0	5524.0	3478.0	4337.0	310.0	447.0	393.0	2197.0	85513.5	1095724.0	1412513.30897
0050057	1429.0	635.0	2012.0	1219.0	400.0	3152.0	4926.0	2836.0	921.0	4778.0	2342.0	2515.0	1583.0	3196.0	716.0	1236.0	1773.0	724.0	1276.0	1278.0	4015.0	1144.0	4180.0	4046.0	762.0	6238.0	6762.0	5999.0	3788.0	4206.0	248.0	390.0	433.0	2460.0	83610.0	1069890.0	1353512.42705
0050058	1077.0	558.0	2534.0	1556.0	401.0	2831.0	5001.0	3439.0	1137.0	5162.0	3420.0	3058.0	2405.0	3372.0	679.0	1282.0	2018.0	807.0	1584.0	1356.0	4969.0	1427.0	5955.0	4522.0	763.0	6376.0	8264.0	6171.0	4109.0	4498.0	254.0	464.0	370.0	2693.0	94508.2	1272384.0	1619680.33725
0050059	1067.0	709.0	2922.0	1639.0	435.0	4015.0	5125.0	3799.0	1078.0	5196.0	3308.0	3446.0	1965.0	3558.0	899.0	1568.0	1903.0	791.0	1458.0	1315.0	4844.0	1050.0	5207.0	5009.0	995.0	6682.0	8886.0	6626.0	4653.0	4020.0	264.0	510.0	719.0	3387.0	99019.1	1267439.0	1657980.11431
0050060	1573.0	531.0	2804.0	1842.0	593.0	3653.0	6249.0	4174.0	1254.0	6748.0	3180.0	3966.0	2252.0	3928.0	839.0	1742.0	2386.0	761.0	1390.0	2047.0	5202.0	1372.0	6768.0	4869.0	993.0	6973.0	8683.0	6291.0	4270.0	4693.0	302.0	568.0	472.0	3169.0	106520.0	1424746.0	1845592.60941
0050102	1073.0	579.0	2521.0	1713.0	475.0	3150.0	5127.0	3099.0	1297.0	5145.0	3112.0	3223.0	1938.0	2930.0	585.0	2060.0	1776.0	647.0	1438.0	1686.0	4771.0	1422.0	5953.0	4819.0	931.0	5461.0	7684.0	6643.0	4321.0	4905.0	241.0	445.0	697.0	2719.0	94576.9	1226978.0	1530887.89211
0050103	946.0	686.0	2530.0	1985.0	422.0	3330.0	4997.0	3591.0	1121.0	6194.0	2584.0	3206.0	1816.0	3166.0	639.0	1349.0	1795.0	601.0	1332.0	1541.0	4512.0	1514.0	5495.0	4924.0	670.0	5273.0	7253.0	6278.0	4046.0	4230.0	298.0	488.0	474.0	2525.0	91811.6	1197460.0	1557459.49112
0050104	1049.0	735.0	3157.0	1633.0	409.0	3894.0	5458.0	4634.0	1431.0	6113.0	2872.0	3154.0	2202.0	4265.0	877.0	1560.0	2142.0	848.0	1819.0	1449.0	5238.0	1824.0	5475.0	4533.0	1049.0	8287.0	8122.0	5783.0	4771.0	4589.0	344.0	486.0	447.0	3301.0	103856.0	1452955.0	1842682.46008
0050105	1065.0	758.0	1752.0	1953.0	310.0	3659.0	4675.0	3504.0	904.0	5881.0	2546.0	2551.0	2065.0	3790.0	682.0	1476.0	1784.0	696.0	1556.0	1470.0	4445.0	1124.0	5002.0	4047.0	895.0	5861.0	7715.0	5409.0	4359.0	4667.0	295.0	389.0	422.0	2583.0	90258.5	1202936.0	1535659.68249
0050106	990.0	685.0	2496.0	1576.0	481.0	2853.0	5109.0	2655.0	1084.0	4209.0	2825.0	2857.0	1939.0	2489.0	643.0	1474.0	1350.0	665.0	1256.0	1329.0	4300.0	1345.0	5377.0	4389.0	726.0	5512.0	8934.0	5948.0	4137.0	4487.0	279.0	388.0	566.0	2980.0	88325.4	1160174.0	1449094.84443
0050107	1021.0	876.0	3157.0	1914.0	412.0	4045.0	6167.0	3818.0	1104.0	6570.0	3299.0	3857.0	2345.0	3664.0	841.0	1654.0	1704.0	802.0	1388.0	1725.0	4780.0	1341.0	6007.0	4710.0	1304.0	8094.0	9440.0	6181.0	5131.0	6568.0	263.0	559.0	511.0	3223.0	108462.0	1418513.0	1770663.27547
0050108	1082.0	600.0	2530.0	1697.0	483.0	3426.0	5550.0	3519.0	807.0	6481.0	2912.0	3278.0	1985.0	3341.0	768.0	1682.0	1547.0	774.0	1104.0	1754.0	4469.0	955.0	5778.0	3991.0	955.0	5941.0	8266.0	5626.0	4398.0	5172.0	231.0	481.0	491.0	2852.0	94920.5	1228558.0	1610940.0268
0050109	1061.0	608.0	2113.0	1766.0	417.0	3158.0	4936.0	3961.0	1190.0	5133.0	2730.0	3077.0	1972.0	3416.0	606.0	1546.0	1831.0	887.0	1511.0	1334.0	4171.0	1366.0	5128.0	4126.0	840.0	5905.0	7700.0	5239.0	4161.0	4979.0	254.0	466.0	418.0	2509.0	90479.5	1130572.0	1410240.71208
0050110	1027.0	586.0	1665.0	1077.0	339.0	2396.0	4173.0	2349.0	1114.0	3844.0	1889.0	2023.0	1650.0	2723.0	572.0	1469.0	1539.0	569.0	1299.0	906.0	3317.0	1182.0	4209.0	3408.0	523.0	4209.0	6504.0	4029.0	3879.0	3938.0	272.0	241.0	480.0	2440.0	71835.1	1035672.0	1583494.65143
0050111	1269.0	847.0	2233.0	1410.0	428.0	3285.0	4948.0	3618.0	1283.0	5514.0	2675.0	3477.0	2089.0	3754.0	667.0	1500.0	1621.0	643.0	1627.0	1307.0	4356.0	1326.0	5207.0	3938.0	864.0	6322.0	6915.0	6908.0	4242.0	4614.0	268.0	477.0	466.0	2547.0	92542.2	1257993.0	1503924.34284
0050112	873.0	533.0	2249.0	1501.0	378.0	3156.0	3836.0	2623.0	1110.0	4751.0	2864.0	3314.0	1984.0	2458.0	606.0	1448.0	1694.0	735.0	1663.0	1524.0	3792.0	1320.0	4670.0	4032.0	872.0	6173.0	6832.0	5316.0	3924.0	4193.0	218.0	464.0	492.0	2505.0	84099.1	1182031.0	1522391.56306
0050113	797.0	836.0	2396.0	1727.0	440.0	3067.0	4230.0	3029.0	1115.0	6160.0	2612.0	3382.0	1977.0	2985.0	601.0	1338.0	1424.0	744.0	1357.0	1718.0	4112.0	1167.0	4637.0	3810.0	731.0	6400.0	7018.0	5573.0	3672.0	3090.0	250.0	516.0	377.0	1933.0	85148.4	1106960.0	1406856.15322
0050114	963.0	519.0	2515.0	1566.0	495.0	3523.0	4478.0	3146.0	1222.0	5506.0	3159.0	3710.0	1983.0	3127.0	711.0	1630.0	1842.0	733.0	1527.0	1646.0	4557.0	1403.0	5254.0	3802.0	900.0	5575.0	8014.0	5414.0	4310.0	3819.0	287.0	579.0	525.0	2806.0	91243.5	1185405.0	1503825.11353
0050115	857.0	542.0	2336.0	1576.0	453.0	2926.0	4265.0	3264.0	1048.0	4176.0	2756.0	3077.0	1770.0	3070.0	692.0	1483.0	1252.0	626.0	976.0	1172.0	5027.0	1204.0	5394.0	4287.0	711.0	5614.0	7267.0	5342.0	3807.0	4183.0	244.0	398.0	525.0	2583.0	84899.6	1081535.0	1407887.10991
